Startdatum,Starttid,Slutdatum,Sluttid,Subject,Description,Location,Private
2024-10-16,10:15,2024-10-16,12:00,TATA65 Lektion (U3),Information till student: <br/>Lokal: U3<br/>Studentgrupp: U1.a<br/>Fria grupper: <br/>Lärare: Erik Darpö,,True
2024-10-16,13:15,2024-10-16,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (AG24)","Information till student: Dialogseminarium: obligatorisk närvaro - U04<br/>Lokal: AG24<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Anders Fröberg",,True
2024-10-16,13:15,2024-10-16,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG43)","Information till student: Dialogseminarium: obligatorisk närvaro - U02<br/>Lokal: KG43<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Peter Dalenius",,True
2024-10-16,13:15,2024-10-16,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG44)","Information till student: Dialogseminarium: obligatorisk närvaro - U12<br/>Lokal: KG44<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Helena Orädd",,True
2024-10-16,13:15,2024-10-16,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG45)","Information till student: Dialogseminarium: obligatorisk närvaro - U01<br/>Lokal: KG45<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Emil Wiman",,True
2024-10-17,08:15,2024-10-17,10:00,TDDE23 Laboration (SU11),Information till student: <br/>Lokal: SU11<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 2<br/>Lärare: ,,True
2024-10-17,08:15,2024-10-17,10:00,TDDE23 Laboration (SU12),Information till student: <br/>Lokal: SU12<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 4<br/>Lärare: ,,True
2024-10-18,08:15,2024-10-18,10:00,TATA65 Mentorsmöte (R34),Information till student: <br/>Lokal: R34<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 1<br/>Lärare: Elias Johansson,,True
2024-10-18,08:15,2024-10-18,10:00,TATA65 Mentorsmöte (R44),Information till student: <br/>Lokal: R44<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 2<br/>Lärare: Shayan Kharaghani,,True
2024-10-18,13:15,2024-10-18,15:00,TDDE23 Laboration (SU00),Information till student: <br/>Lokal: SU00<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 1<br/>Lärare: ,,True
2024-10-18,13:15,2024-10-18,15:00,TDDE23 Laboration (SU01),Information till student: <br/>Lokal: SU01<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 3<br/>Lärare: ,,True
2024-10-21,10:15,2024-10-21,12:00,TDDE23 Laboration (SU00),Information till student: <br/>Lokal: SU00<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 1<br/>Lärare: ,,True
2024-10-21,10:15,2024-10-21,12:00,TDDE23 Laboration (SU01),Information till student: <br/>Lokal: SU01<br/>Studentgrupp: U1.a<br/>Fria grupper: Grupp 3<br/>Lärare: ,,True
2024-10-21,13:15,2024-10-21,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG21)","Information till student: Dialogseminarium: obligatorisk närvaro - U06<br/>Lokal: KG21<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Jonathan Hjort",,True
2024-10-21,13:15,2024-10-21,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG22)","Information till student: Dialogseminarium: obligatorisk närvaro - U08<br/>Lokal: KG22<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Helena Orädd",,True
2024-10-21,13:15,2024-10-21,17:00,"TDDD70,TDDD84,TDDD91 Obligatoriskt moment,Seminarium ⓘ (KG23)","Information till student: Dialogseminarium: obligatorisk närvaro - U10<br/>Lokal: KG23<br/>Studentgrupp: U1,U2,U3<br/>Fria grupper: <br/>Lärare: Aseel Berglund",,True
